Provinsi,Akomodasi 2022,Akomodasi 2023,Kamar 2022,Kamar 2023,Tempat Tidur 2022,Tempat Tidur 2023
ACEH,42,43,2109,2128,3468,3497
SUMATERA UTARA,146,146,12200,12200,18541,18541
SUMATERA BARAT,92,92,5575,5575,8944,8944
RIAU,100,100,8881,8881,12809,12809
JAMBI,35,35,2759,2759,4138,4138
SUMATERA SELATAN,82,83,7025,7181,10271,10504
BENGKULU,17,17,1049,1049,1438,1438
LAMPUNG,28,28,2747,2747,4179,4179
KEP. BANGKA BELITUNG,53,55,4283,4445,5112,5404
KEP. RIAU,118,119,12754,12836,18077,18241
DKI JAKARTA,448,448,57116,57116,74333,74333
JAWA BARAT,593,598,54034,54235,84279,84576
JAWA TENGAH,352,359,28874,29523,53488,54786
DI YOGYAKARTA,192,193,18594,18818,36297,36668
JAWA TIMUR,349,349,34460,34460,53235,53235
BANTEN,148,148,12975,12975,19555,19555
BALI,541,541,54275,54275,76047,76047
NUSA TENGGARA BARAT,95,96,6619,6626,9759,9766
NUSA TENGGARA TIMUR,43,46,2952,3143,5172,5554
KALIMANTAN BARAT,49,49,5084,5084,7423,7423
KALIMANTAN TENGAH,27,28,2078,2228,3112,3347
KALIMANTAN SELATAN,57,57,4609,4609,7422,7422
KALIMANTAN TIMUR,72,73,7677,7777,11313,11437
KALIMANTAN UTARA,8,8,468,468,667,667
SULAWESI UTARA,52,52,4729,4729,6522,6522
SULAWESI TENGAH,14,14,1109,1109,1733,1733
SULAWESI SELATAN,194,195,14555,14570,21419,21436
SULAWESI TENGGARA,27,27,1879,1879,2837,2837
GORONTALO,8,8,635,635,849,849
SULAWESI BARAT,6,6,276,276,402,402
MALUKU,26,26,1554,1554,2082,2082
MALUKU UTARA,13,13,720,720,1050,1050
PAPUA BARAT,22,22,1793,1793,3099,3099
PAPUA,55,55,3757,3757,5676,5676
