PROVINSI,2021,2022,2023
ACEH,0.12,0.88,7.3
SUMATERA UTARA,4.93,32.05,113.33
SUMATERA BARAT,2.37,9.91,30.06
RIAU,5.41,10.34,14.93
JAMBI,0.81,2.08,3.37
SUMATERA SELATAN,3.23,4.7,7.55
BENGKULU,0.03,0.12,0.42
LAMPUNG,0.57,1.65,3.47
KEP. BANGKA BELITUNG,0.58,2.92,4.82
KEP. RIAU,30.3,375.36,700.55
DKI JAKARTA,283.01,414.99,941.41
JAWA BARAT,56.81,145.2,226.16
JAWA TENGAH,15.12,41.25,70.25
DI YOGYAKARTA,14.2,42.2,126.28
JAWA TIMUR,26.88,81.01,211.84
BANTEN,66.48,123.77,283.08
BALI,97.83,1620.09,3628.48
NUSA TENGGARA BARAT,7.57,11.04,210.68
NUSA TENGGARA TIMUR,6.1,32.23,93.81
KALIMANTAN BARAT,2.36,11.62,23.06
KALIMANTAN TENGAH,1.12,2.76,4.8
KALIMANTAN SELATAN,1.05,7.5,6.07
KALIMANTAN TIMUR,6.5,12.75,20.5
KALIMANTAN UTARA,0.43,2.91,1.55
SULAWESI UTARA,10.19,11.41,35.23
SULAWESI TENGAH,0.3,1.01,3.02
SULAWESI SELATAN,2.13,14.92,18.49
SULAWESI TENGGARA,0.34,1.9,1.07
GORONTALO,0.3,0.59,1.56
SULAWESI BARAT,0.01,0.11,0.09
MALUKU,0.81,2.86,7.26
MALUKU UTARA,0.13,0.18,1
PAPUA BARAT,0.97,3.26,1.12
PAPUA BARAT DAYA,-,-,15.86
PAPUA,0.15,2.08,1.25
PAPUA SELATAN,-,-,0.35
PAPUA TENGAH,-,-,4.38
PAPUA PEGUNUNGAN,-,-,0.5
