38 Provinsi,2021,2022,2023
ACEH,195.25,265,329.9
SUMATERA UTARA,1937.91,2748.71,2933.7
SUMATERA BARAT,1175.55,1469.14,1434.66
RIAU,1341.38,1795.91,1923.57
JAMBI,386.67,598.32,620.39
SUMATERA SELATAN,1502.83,1866.43,1957.9
BENGKULU,197.24,231.62,275.91
LAMPUNG,642.8,779.99,778.02
KEP. BANGKA BELITUNG,312.46,453.96,499.14
KEP. RIAU,824.02,1232.07,1316.21
DKI JAKARTA,5997.87,5722.37,10347.82
JAWA BARAT,8504.51,12346.22,13777.94
JAWA TENGAH,4525.92,6557.03,7221.44
DI YOGYAKARTA,3132.16,4897.97,5556.7
JAWA TIMUR,5007.04,7486.58,8499.69
BANTEN,1785.86,2306.61,2958.81
BALI,1839.42,3895.74,3907.35
NUSA TENGGARA BARAT,439.09,573.89,712.14
NUSA TENGGARA TIMUR,322.02,411.47,404.73
KALIMANTAN BARAT,783.98,1064.8,1122.25
KALIMANTAN TENGAH,275.48,414.39,457.75
KALIMANTAN SELATAN,831.01,1126.7,1164.07
KALIMANTAN TIMUR,1307.09,1735.68,1917.44
KALIMANTAN UTARA,81.18,106.76,102.21
SULAWESI UTARA,446,655.1,753.74
SULAWESI TENGAH,114.01,169.36,202.76
SULAWESI SELATAN,1604.12,2301.62,2803.89
SULAWESI TENGGARA,279.09,304.92,409.16
GORONTALO,95.6,96.93,110.93
SULAWESI BARAT,17.13,36.13,62
MALUKU,86.29,115.46,147
MALUKU UTARA,88.41,101.12,119.66
PAPUA BARAT,194.34,226.11,68.8
PAPUA BARAT DAYA,-,-,208.12
PAPUA,235.9,440.51,431.1
PAPUA SELATAN,-,-,33.15
PAPUA TENGAH,-,-,103.31
PAPUA PEGUNUNGAN,-,-,22.75
INDONESIA,46509.61,64534.63,75696.11
