Asal Wisatawan,2019,2020,2021
Brunei Darussalam,7.04,8.05,6.64
Malaysia,5.29,2.96,2.13
Filipina,6.3,8.62,3.82
Singapura,3.07,3.82,2.74
Thailand,7.89,13.3,4.73
Hong Kong,8.67,2.66,2.52
India,7.05,9.98,7.3
Jepang,6.94,10.49,61.68
Korea Selatan,8.81,16.72,46.77
Pakistan,19.11,28.4,27.11
Bangladesh,5.97,7.75,4.36
Srilanka,7.12,14.47,7.89
Taiwan,7.56,11.54,21.33
Cina,10.71,27.03,17.03
Arab Saudi,13.17,14.12,28.93
Austria,15.71,18.05,5.76
Belgia,14.91,20.24,19.03
Denmark,14.84,16.31,30.33
Perancis,14.56,20.05,22.15
Jerman,15.86,20,33.34
Italia,13.59,21.33,14.82
Belanda,18.03,14.96,4.73
Spanyol,13.72,20.19,5.67
Portugal,8.4,10.41,19.96
Swedia,16.02,15.32,4.72
Swiss,15.46,21.33,45.97
Inggris,11.52,14.17,13.45
Finlandia,14.98,17.42,32.85
Norwegia,14.6,15.76,24.24
Rusia,19.66,24.89,39.89
Amerika Serikat,11.4,12.49,5.89
Kanada,13.17,17.05,28.66
Amerika Tengah,11.79,13.17,0.43
Amerika Selatan,14.6,17.23,12.13
Australia,9.43,10.03,18.08
Selandia Baru,10.13,11.21,29.74
Mesir,12.23,19.04,15.33
Negara lainnya,8.45,4.4,2.93
Rata- Rata,8.87,7.79,4.3
