Asal,2019,2020,2021
Brunei Darussalam,480.15,-,688.23
Malaysia,495.16,936.99,1374.65
Filipina,823.05,-,0
Singapura,849.77,1929.97,1359.61
Thailand,878.29,-,5097.13
Hong Kong,1082.72,-,0
India,1080.42,-,0
Jepang,943.6,2045.74,1677.66
Korea Selatan,1144.66,-,1916.25
Pakistan,1201.13,-,0
Bangladesh,1005.81,-,0
Srilanka,873.04,-,0
Taiwan,1007.35,-,0
Cina,1114.48,-,0
Arab Saudi,1592.79,-,1715.5
Austria,1256.5,-,4998.58
Belgia,1412.18,-,0
Denmark,1398.82,-,2819.51
Perancis,1239.35,-,4648.37
Jerman,1238.96,-,4174.43
Italia,1280.56,-,3607.5
Belanda,1400.25,-,4714.05
Spanyol,1362.74,-,6885.01
Portugal,1156.84,-,6626.68
Swedia,1305.27,-,0
Swiss,1326.3,-,0
Inggris,1286.02,-,3075.16
Finlandia,1256.15,-,0
Norwegia,1350.1,-,0
Rusia,1352.95,-,3710.41
Amerika Serikat,1306.17,-,5045.97
Kanada,1290.5,-,2593.58
Amerika Tengah,1090.21,-,0
Amerika Selatan,1123.15,-,0
Australia,1383.6,-,3086.86
Selandia Baru,1375.99,-,0
Mesir,1370.7,-,0
